idx,key,value,type
,,"Right, he would be often spotted under a tree, scribbling notes as he read.",event association
19,verb1,did,
,verb2,would,
,subj,The nanny,
,vp1,got engaged this month,
,vp2,would eat bananas at night,
,prn,she,
,name1,Arianna,
,name2,Katie,
,vp1_cont,That's awesome she got finally engaged!,lexical overlap
,,I thought she was already engaged last month?,lexical overlap
,,Who did she get engaged to?,lexical overlap
,,That took long for her to get engaged.,lexical overlap
,,It's great to hear that she's officially engaged now!,lexical overlap
,,I bet she's looking forward to the future!,situational inference
,,Will she stop coming to take care of kids now?,situational inference
,,"I guess now we know what her next ""commitment"" is!",situational inference
,,Is she still going to have time to babysit?,situational inference
,,I'm not sure if she's ready for a new chapter in her life.,situational inference
,,I wonder when the wedding will be.,event association
,,Did she mention how the proposal went?,event association
,,Do we get to meet the lucky partner?,event association
,,I hope she juggles well he nanny duties with wedding prep.,event association
,,Is she already planning the details of the wedding?,event association
,vp2_cont,Bananas were her go-to choice during those late hours.,lexical overlap
,,"All sorts of fruit, actually, not just bananas.",lexical overlap
,,"Yes, every night, without fail.",lexical overlap
,,I think she eats nothing but bananas.,lexical overlap
,,"Not bananas, but papayas.",lexical overlap
,,She probably wanted something light.,situational inference
,,A secret monkey in disguise?,situational inference
,,Perhaps she thought that would help her stay a-peel-ling the next day.,situational inference
,,That's a healthy habit.,situational inference
,,Maybe it was her way of keeping energy up.,situational inference
,,"I mean, it is the perfect food to grab quickly.",event association
,,I think it's the ideal snack to grab on the go.,event association
,,And no other fruits?,event association
,,Is she allergic to other fruits?,event association
,,That's why she always stopped by grocery stores!,event association
20,verb1,did,
,verb2,would,
,subj,The motorcyclist,
,vp1,seemed very eager to return home,
,vp2,would wear glasses in the day time,
,prn,she,
,name1,Garrett,
,name2,Steven,
,vp1_cont,"Well, she's eager about anything.",lexical overlap
,,She has a home?,lexical overlap
,,Why is she so eager?,lexical overlap
,,What is she so excited about?,lexical overlap
,,Where does she call home?,lexical overlap
,,She probably has a warm meal waiting for her.,situational inference
,,Maybe she's trying to beat the rush hour traffic.,situational inference
,,"Yeah, it's about time when the kids return from school.",situational inference
,,Her favorite TV is about to start.,situational inference
,,I bet -- she wore a jacket that was too light for today's weather.,situational inference
,,Maybe she's eager to get back to his family.,event association
,,She's excited to lie down on her couch.,event association
,,Where does she live?,event association
,,What is she so excited about?,event association
,,What's making her so thrilled?,event association
,vp2_cont,Those are special glasses customized just for her.,lexical overlap
,,Those are safety glasses protecting her eyes from the sun.,lexical overlap
,,Those glasses would help maintain clear sight without squinting.,lexical overlap
,,She said it's important to have a good pair of glasses especially when you're riding fast.,lexical overlap
,,Those glasses would come in handy when it's windy.,lexical overlap
,,She resembled a secret agent.,situational inference
,,It was because she didn't want to be recognized.,situational inference
,,That was her way of being in disguise.,situational inference
,,That was her way of going incognito.,situational inference
,,"She wanted to avoid drawing attention to herself, but it actually had the opposite effect.",situational inference
,,It's important to wear those since she rides in the daylight.,event association
,,She wears them to block the glare of the sun.,event association
,,They give her better visibility.,event association
,,It makes sense to shield the eyes from UV rays.,event association
,,"Yes, those are a must-have especially on sunny days.",event association
21,verb1,does,
,verb2,did,
,subj,The nurse,
,vp1,has lots of interest in French cuisine,
,vp2,recently adopted a rescue dog,
,prn,he,
,name1,Marco,
,name2,Elizabeth,
,vp1_cont,And I heard he loves experimenting with French recipes.,lexical overlap
,,"Yes, he is always trying out new French dishes.",lexical overlap
,,That's why he talks about French pastries all the time!,lexical overlap
,,He could even write a guidebook on French dining etiquette.,lexical overlap
,,His fridge is probably 90 percent French cheese.,lexical overlap
,,"Let me guess, his dream is to have a pet chicken name Coq au Vin.",situational inference
,,He probably thinks ketchup is a mortal sin.,situational inference
,,He must have an impressive collection of copper pans.,situational inference
,,That explains his fascination with Michelin-starred restaurants.,situational inference
,,His family also owns a vineyard somewhere.,situational inference
,,No wonder he's planning a trip to Paris soon.,event association
,,He should know the difference between a croissant and a pain au chocolat.,event association
,,I wouldn't be shocked if his next vacation is a culinary tour in France.,event association
,,I'm guessing he can name every region in France by its wines.,event association
,,No wonder he always has fresh baguettes on the counter.,event association
,vp2_cont,I'm glad the dog now has a home.,lexical overlap
,,I'm sure the dog will be well taken care of.,lexical overlap
,,The dog will bring so much joy to him.,lexical overlap
,,Adopting a rescue dog suits his caring nature.,lexical overlap
,,I hope the dog helps him unwind after a long shift.,lexical overlap
,,"Hopefully, that will help him get more outdoor exercise.",situational inference
,,He'll start knitting little sweaters for it.,situational inference
,,I bet he's given away his favorite spot on the couch already!,situational inference
,,Looks like someone signed up for endless belly rubs.,situational inference
,,He would need more coffee for those early morning walks!,situational inference
,,Doesn't he have four cats already?,event association
,,"He volunteers at a shelter, too.",event association
,,It makes sense chose to help an animal in need.,event association
,,"I'm not surprised since he's known for putting others first, be they human or animal.",event association
,,That reflects his selfless personality so well.,event association
22,verb1,does,
,verb2,did,
,subj,The industrialist,
,vp1,occasionally writes a blog about historical figures,
,vp2,had a good sleep,
,prn,he,
,name1,Omar,
,name2,Isaac,
,vp1_cont,What kind of historical figures?,lexical overlap
,,Where can I find the blog posts?,lexical overlap
,,"Well, more than occasionally.",lexical overlap
,,I like how he blends business insights with historical analysis in his posts.,lexical overlap
,,"I read a couple of his blog posts, and they are quite insightful.",lexical overlap
,,He must have a keen eye for identifying patterns across eras.,situational inference
,,Does he write his blogs with a quill and parchment for authenticity?,situational inference
,,I hope he doesn't start dressing like a 18th-century worker.,situational inference
,,That explains the recent debate he started on Napoleon's strategies.,situational inference
,,No wonder he keeps quoting Churchill in meetings.,situational inference
,,"Yes, particularly industrial innovators.",event association
,,"He's always shown great passion for writing, so I'm not surprised.",event association
,,Is that why he keeps visiting museums on weekends?,event association
,,He always had a knack for storytelling.,event association
,,I see why he is interested in archival materials.,event association
,vp2_cont,I'm glad he had a good night's sleep!,lexical overlap
,,"Well, he always gets good sleep.",lexical overlap
,,He actually had good sleep after that debacle last night?,lexical overlap
,,How did he manage to sleep well with all that noise?,lexical overlap
,,That's remarkable that he got any good sleep amidst all that loud music.,lexical overlap
,,No wonder he is so productive today.,situational inference
,,That's why he looked so refreshed this morning.,situational inference
,,It makes sense why he's in such a joyful mood now.,situational inference
,,That explains why he was ahead of schedule today.,situational inference
,,I bet the team meeting went a lot smoother.,situational inference
,,I guess he took the advice to switch off his phone before bed.,event association
,,I wonder if he meditated before bed.,event association
,,I wonder if he practices deep breathing exercises last night.,event association
,,I guess he dimmed the lights early last night.,event association
,,Maybe he used that new weighted blanket he bought.,event association
23,verb1,does,
,verb2,did,
,subj,The therapist,
,vp1,wants to get married soon,
,vp2,took a flight from Newark to Los Angeles,
,prn,she,
,name1,Sofia,
,name2,Cody,
,vp1_cont,I thought she was already married!,lexical overlap
,,She wanted to get married ever since she turned 20.,lexical overlap
,,I'm sure she'll get married in the next couple of years.,lexical overlap
,,But last time she said she wasn't sure if she wanted to get married.,lexical overlap
,,Does her boyfriend also want to get married?,lexical overlap
,,Sounds like her relationship is going really well.,situational inference
,,Do you think she's ready to balance her career and personal life?,situational inference
,,It sounds like she's in a pretty good spot with her partner.,situational inference
,,"Do you think she's financially prepared, though?",situational inference
,,Do you think she's emotionally ready for such a big change?,situational inference
,,She's been dreaming about it for a very long time.,event association
,,She must be in a committed relationship.,event association
,,Is she dating anyone though?,event association
,,She's been fantasizing about that future for years.,event association
,,I didn't think she was in a serious relationship.,event association
,vp2_cont,And then she arrived in Los Angeles just in time for the next meeting.,lexical overlap
,,I hope she had a smooth flight!,lexical overlap
,,Why did she choose Newark?,lexical overlap
,,What was happening in Los Angeles?,lexical overlap
,,She met her ex-wife on that flight.,lexical overlap
,,Is that why she is feeling nauseous?,situational inference
,,How did she manage to get through without an ID?,situational inference
,,She redeemed her credit card miles for it.,situational inference
,,I hope she didn't start psychoanalyzing the people sitting next to her.,situational inference
,,She had to use her techniques to calm herself down while going through security.,situational inference
,,I heard there was a lot of turbulence.,event association
,,"Unfortunately, she lost her luggage at the airport.",event association
,,Do you know which airline she flew with?,event association
,,She bought the tickets using her credit card mileage.,event association
,,She paid extra for the legroom.,event association
24,verb1,does,
,verb2,did,
,subj,The judge,
,vp1,hates horror movies,
,vp2,prepared for the meal,
,prn,she,
,name1,Hanna,
,name2,Makenzie,
,vp1_cont,"Yeah, some people just can't handle horror.",lexical overlap
,,Maybe it's just that she's never watched a good horror movie.,lexical overlap
,,I don't like horror movies either.,lexical overlap
,,Perhaps her first horror movie was so bad.,lexical overlap
,,I guess she's seen enough horror in her job already!,lexical overlap
,,Sounds like she doesn't want something that's adrenaline-pumping.,situational inference
,,Guess she prefers something with less screaming and more logic.,situational inference
,,I'm sure she'd want something more peaceful after a long day in court.,situational inference
,,She doesn't like Halloween either.,situational inference
,,"Maybe horror movies are just too much of a ""guilty"" pleasure for her.",situational inference
,,I guess the suspense is a bit too much for her.,event association
,,"I imagine she doesn't like being scared, even by fiction.",event association
,,Some people just don't enjoy being frightened.,event association
,,I wonder if she likes comedies instead.,event association
,,Maybe she prefers to watch lighter films to unwind after a heavy day.,event association
,vp2_cont,What kind of meal did she prepare?,lexical overlap
,,I think the meal is for the banquet today.,lexical overlap
,,I think it's a special meal that she prepared for a lawyer friend's retirement.,lexical overlap
,,Was the meal for the visiting judge from the other court?,lexical overlap
,,"I think she was hosting an event, not just preparing a meal.",lexical overlap
,,I didn't expect her to have time for that!,situational inference
,,I imagine she wanted to make the annual event more memorable!,situational inference
,,Maybe it's for a legal symposium or a networking event.,situational inference
,,She did it for a charity fundraiser.,situational inference
,,I guess she was trying to make the event in the evening quite special!,situational inference
,,Was that for the Thanksgiving dinner?,event association
,,She might be cooking to celebrate one of the team members' birthdays.,event association
,,She is hosting a formal dinner for the legal team.,event association
,,I didn't know she had culinary skills.,event association
,,I hope what she made was vegan-friendly.,event association
25,verb1,does,
,verb2,has,
,subj,The magician,
,vp1,laughs very loudly,
,vp2,has been collecting fridge magnets for five years,
,prn,he,
,name1,Jillian,
,name2,Rebecca,
,vp1_cont,He laughs all the time.,lexical overlap
,,He laughs so loud that he can wake up with neighbors.,lexical overlap
,,Maybe he just laughs to distract from the trick.,lexical overlap
,,Why is his laugh so loud?,lexical overlap
,,Maybe the laugh was the real magic all along.,lexical overlap
,,"That's one way to break the tension during a show, I guess.",situational inference
,,That might be the highlight of the act.,situational inference
,,That's much better than crying on stage.,situational inference
,,"Honestly, that might be more entertaining than pulling a rabbit out of a hat.",situational inference
,,Or was that just a sound effect?,situational inference
,,Is this a magic show or a comedy act?,event association
,,He always cracks himself up!,event association
,,Was there a fun joke?,event association
,,Someone's having an absolute blast up there.,event association
,,I think that's a good way to keep the energy high during a performance.,event association
,vp2_cont,I bet it's more than five years.,lexical overlap
,,Do you know why magnets in particular?,lexical overlap
,,What's so special about collecting fridge magnets?,lexical overlap
,,Where he would get magnets?,lexical overlap
,,So the fridge is the real star of the show?,lexical overlap
,,The real magic would be finding space for all of them.,situational inference
,,That could be a nice museum exhibit.,situational inference
,,That's a real commitment to sticking to something!,situational inference
,,That's a nice way to ensure visitors are entertained coming to his place.,situational inference
,,Does he focus on a particular style or just go with the flow?,situational inference
,,That's quite the dedication to gathering trinkets!,event association
,,Is there a theme to his little treasures?,event association
,,I wonder what inspired that particular hobby.,event association
,,I wonder if there's a story behind each piece.,event association
,,I'd love to see how he organizes all those little mementos.,event association
26,verb1,does,
,verb2,has,
,subj,The tenant,
,vp1,plans to go apple picking tomorrow,
,vp2,has been earning money by making YouTube videos,
,prn,she,
,name1,Melissa,
,name2,Makenzie,
,vp1_cont,How many apples is she planning to pick?,lexical overlap
,,But it'll will rain tomorrow.,lexical overlap
,,Is there an apple farm nearby?,lexical overlap
,,She should bring a cooler for all the extra apples she'll pick.,lexical overlap
,,She might need a cart to overhaul all the apples.,lexical overlap
,,Does she have a big basket?,situational inference
,,Tell her to bring comfy pants and shoes!,situational inference
,,I should pick up some ingredients to make a pie out of those!,situational inference
,,She should bring a hat to shield herself from the sun.,situational inference
,,Would she need help carrying everything back?,situational inference
,,How far is the orchard?,event association
,,Sounds like a delightful seasonal excursion!,event association
,,Who's joining her for this outdoor event?,event association
,,That should be a perfect activity to spend the afternoon.,event association
,,It must be nice to get out in the nature for a while.,event association
,vp2_cont,How much does she earn?,lexical overlap
,,What kind of videos does she make?,lexical overlap
,,YouTube must be a good profitable platform.,lexical overlap
,,That's fascinating -- I don't even have an account on YouTube.,lexical overlap
,,You knew ten years ago that you could make money through YouTube!,lexical overlap
,,How many subscribers does she have?,situational inference
,,"Who knew ""filming yourself talking"" would become the next big career move?",situational inference
,,She just needs to say hello to the camera in her pajamas.,situational inference
,,She's running her business while lying on the couch!,situational inference
,,You smile at the camera and that's it?,situational inference
,,She's pretty good at creating new content.,event association
,,Does she get a steady income?,event association
,,She makes a decent living out of it.,event association
,,Is that her regular job?,event association
,,Where does the revenue come from?,event association
27,verb1,does,
,verb2,has,
,subj,The farmer,
,vp1,rides a bike to the nearest park,
,vp2,has been a fan of Rihanna since her debut,
,prn,he,
,name1,Parker,
,name2,Chloe,
,vp1_cont,I didn't know he knew how to bike.,lexical overlap
,,How far is the nearest park?,lexical overlap
,,I thought he got his bike stolen.,lexical overlap
,,Which park does he usually go to?,lexical overlap
,,Are you sure he goes to a park?,lexical overlap
,,When did he get a bike?,situational inference
,,I hope he wears a helmet!,situational inference
,,But it's only 100 meters away!,situational inference
,,I bet he goes there for a nap.,situational inference
,,But there are bears out there!,situational inference
,,That's a nice way to enjoy nature and be surrounded by greenery.,event association
,,His dog's favorite playground is there.,event association
,,"But today, he got stuck in the hay while trying to take a shortcut.",event association
,,But sometimes he drives his tractor instead.,event association
,,"But today, he got caught in the mud while trying to take a faster route",event association
,vp2_cont,Rihanna's music is always on his playlist.,lexical overlap
,,He even has a Rihanna shirt.,lexical overlap
,,He was caught humming one of Rihanna's songs the other day.,lexical overlap
,,He is probably one of her longest fans.,lexical overlap
,,When was her debut?,lexical overlap
,,Even his cows will moo rhythmically.,situational inference
,,"I bet the tractor hums ""Umbrella"" on a rainy day.",situational inference
,,He's even considering building a dedicated museum.,situational inference
,,To the extent that it's almost his religion.,situational inference
,,He might even create a shrine.,situational inference
,,I thought he was a fan of Ariana Grande.,event association
,,I thought he listened to only classical music.,event association
,,"In fact, he is an expert on pop music.",event association
,,He would go to all of her concerts when she was in town.,event association
,,He spent so much to get all the albums.,event association
28,verb1,does,
,verb2,has,
,subj,The chemist,
,vp1,has lots of Korean friends,
,vp2,has been in town for 10 years,
,prn,she,
,name1,Evelyn,
,name2,Jasmin,
,vp1_cont,How does she have lots of Korean friends?,lexical overlap
,,Is she Korean?,lexical overlap
,,Does she speak Korean?,lexical overlap
,,"Well, not just Korean friends -- she just has lots of friends.",lexical overlap
,,Are all of her Korean friends chemists?,lexical overlap
,,Is that why she's been going to language classes lately?,situational inference
,,That gives me an idea of where she'll go for her next summer vacation.,situational inference
,,Does she also like spicy food?,situational inference
,,Now it makes sense why she had so many BBQ parties.,situational inference
,,Is that why she's been stocking up so many beauty products.,situational inference
,,Did they meet at an Asian cooking class?,event association
,,That's how she got into K-dramas.,event association
,,Is it because she likes K-pop?,event association
,,I heard she met all of them at that conference that took place in Seoul.,event association
,,Now I understand her fascination with learning Hangul.,event association
,vp2_cont,I thought she recently moved to a different town.,lexical overlap
,,Which town does she live in?,lexical overlap
,,Are you saying 10 years is too long?,lexical overlap
,,How long have you been in town?,lexical overlap
,,"No, she's been in town for more than 20 years actually.",lexical overlap
,,"Yes, that's why every newcomer goes to talk to her.",situational inference
,,She is practically a landmark at this point!,situational inference
,,She can be elected mayor.,situational inference
,,"Right, isn't there even a bench named after her?",situational inference
,,Now she's looking for somewhere else to live.,situational inference
,,She must be friends with all the local shops.,event association
,,She is quite knowledgeable about all the events happening in her neighborhood.,event association
,,She must have so many episodes to share about her neighbors.,event association
,,"Even so, she would get lost finding her way back home.",event association
,,"Do you think she'll get a second house, now that she's settled?",event association
29,verb1,does,
,verb2,is,
,subj,The scientist,
,vp1,loves reading Russian books,
,vp2,is not good at riding a bike,
,prn,he,
,name1,Henry,
,name2,Shawn,
,vp1_cont,"He loves anything that's Russian, basically.",lexical overlap
,,Do you know who his favorite Russian author is?,lexical overlap
,,"Well, he also writes books in Russian.",lexical overlap
,,Last time he told he hates reading Russian books!,lexical overlap
,,I guess it makes sense because his family is from Russian.,lexical overlap
,,"Do you think he enjoys the cold weather, too?",situational inference
,,No wonder he named his dog Tolstoy.,situational inference
,,That explains why he was looking into Cyrillic the other day.,situational inference
,,Perhaps he's trying to get new research insights from Pushkin's poetry.,situational inference
,,Is that why he hired an assistant named Dostoevksy?,situational inference
,,What genres does he like?,event association
,,Is there a library where he can read those?,event association
,,Is there a particular era that he likes?,event association
,,He says he likes the style of narrative in the novels.,event association
,,He actually owns a publishing company specifically for those books.,event association
,vp2_cont,That's interesting because he's quite good at fixing bikes.,lexical overlap
,,What makes you say that he's not a good bike rider?,lexical overlap
,,How could he not be good at riding a bike?,lexical overlap
,,Hasn't he learned to bike when he was little?,lexical overlap
,,"I mean, riding a bike is not easy.",lexical overlap
,,He might have spent more time in the lab than outdoors.,situational inference
,,That's what happens when you prioritize intellectual pursuits over physical activities.,situational inference
,,I guess getting research done left little time for hobbies.,situational inference
,,He was treating the activity more as an engineering problem than a physical skill.,situational inference
,,I guess knowing about Newton's laws was not enough.,situational inference
,,Does he know to drive?,event association
,,But he is quite skilled at roller blades.,event association
,,He says he forgets to pedal.,event association
,,He's kept asking about the optimal angle for steering.,event association
,,He's more interested in the radius of wheels.,event association
30,verb1,does,
,verb2,is,
,subj,The driver,
,vp1,enjoys extreme sports,
,vp2,is always trustworthy,
,prn,she,
,name1,Carly,
,name2,Diana,
,vp1_cont,What kind of extreme sports does she like?,lexical overlap
,,"Well, she enjoys everything.",lexical overlap
,,How did she get into extreme sports?,lexical overlap
,,But her husband is completely against extreme sports.,lexical overlap
,,Does she only like extreme sports?,lexical overlap
,,No wonder she was driving so wildy that night.,situational inference
,,"She calls every land change a ""stunt maneuver.""",situational inference
,,"Is that why she considers road signs just ""suggestions""?",situational inference
,,That's why her insurance premiums are higher than ours.,situational inference
,,Is that why she just jumps over speed bumps?,situational inference
,,"She does skydiving, mountain biking, and snowboarding.",event association
,,She competed for an off-road race recently.,event association
,,She's planning a road trip to the Grand Canyon for cliff diving.,event association
,,She did skydiving to celebrate her 30th birthday.,event association
,,But she's also quite calm and enjoys meditation.,event association
,vp2_cont,What makes her trustworthy?,lexical overlap
,,How do you know she's trustworthy?,lexical overlap
,,I'm surprised that you consider her trustworthy.,lexical overlap
,,"She doesn't look trustworthy at all, though.",lexical overlap
,,"She is trusthworthy, but not always.",lexical overlap
,,I can even tell her my PIN.,situational inference
,,I can share all my secrets with her.,situational inference
,,"That's a relief, especially in unpredictable weather!",situational inference
,,I feel safe telling her anything. ,situational inference
,,Does this mean no sudden detours to pick up their laundry?,situational inference
,,"I know, she is quite punctual.",event association
,,"That's comforting, especially during uncertain times!",event association
,,"That's reassuring, especially when reliability matters most!",event association
,,"I agree, she's incredibly reliable.",event association
,,I like that especially when consistency is hard to find.,event association
31,verb1,does,
,verb2,is,
,subj,The banker,
,vp1,has a very slick hairstyle,
,vp2,is extremely fickle and demanding,
,prn,she,
,name1,Nathaniel,
,name2,Preston,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
32,verb1,does,
,verb2,is,
,subj,The solider,
,vp1,has a good recipe for cooking chicken breast,
,vp2,is wearing a wedding ring,
,prn,he,
,name1,Ariana,
,name2,Cassandra,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
33,verb1,does,
,verb2,was,
,subj,The cashier,
,vp1,hates snow,
,vp2,was listening to classical music,
,prn,she,
,name1,Bailey,
,name2,Gabriela,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
34,verb1,does,
,verb2,was,
,subj,The comedian,
,vp1,cares a lot about the environment,
,vp2,was born in 1992,
,prn,he,
,name1,Carlos,
,name2,Kelly,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
35,verb1,does,
,verb2,was,
,subj,The librarian,
,vp1,takes a vitamin everyday,
,vp2,was being chased by a few people,
,prn,he,
,name1,Melissa,
,name2,Marco,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
36,verb1,does,
,verb2,was,
,subj,The comedian,
,vp1,has red hair,
,vp2,was mentioned in the newspaper,
,prn,she,
,name1,Nicole,
,name2,Mackenzie,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
37,verb1,does,
,verb2,would,
,subj,The actress,
,vp1,has a neat handwriting,
,vp2,would wear a yellow hat on sunny days,
,prn,she,
,name1,Ethan,
,name2,Gregory,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
38,verb1,does,
,verb2,would,
,subj,The make-up artist,
,vp1,occasionally writes a blog about historical figures,
,vp2,would drive to the nearest library when the weather is bad,
,prn,he,
,name1,Jaden,
,name2,Adam,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
39,verb1,does,
,verb2,would,
,subj,The colleague,
,vp1,usually drives three hours a day,
,vp2,would stay out late on the weekends,
,prn,she,
,name1,Travis,
,name2,Bethany,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
40,verb1,does,
,verb2,would,
,subj,The musician,
,vp1,never forgets to greet people with with a big smile,
,vp2,would buy lottery tickets on the weekends,
,prn,he,
,name1,Courtney,
,name2,Lindsey,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
41,verb1,has,
,verb2,did,
,subj,The hairdresser,
,vp1,has lost a child,
,vp2,used to go to school in Japan,
,prn,he,
,name1,Emmanuel,
,name2,Alan,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
42,verb1,has,
,verb2,did,
,subj,The diver,
,vp1,has just turned 40,
,vp2,had a car accident last night,
,prn,she,
,name1,Alexandra,
,name2,Cesar,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
43,verb1,has,
,verb2,did,
,subj,The anthropologist,
,vp1,has been staying in Hawaii for two months,
,vp2,went out for a date,
,prn,he,
,name1,Taylor,
,name2,Alex,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
